news_id,num_nouns,num_propernouns,num_personalnouns,num_ppssessivenouns,num_whpronoun,num_determinants,num_whdeterminants,num_cnum,num_adverb,num_interjections,num_verb,num_adj,num_vbd,num_vbg,num_vbn,num_vbp,num_vbz
17,148.0,56.0,22.0,7.0,8.0,95.0,5.0,9.0,39.0,0.0,49.0,63.0,11.0,46.0,27.0,20.0,43.0
18,245.0,106.0,24.0,14.0,5.0,160.0,16.0,15.0,66.0,0.0,87.0,128.0,22.0,27.0,72.0,40.0,49.0
19,77.0,184.0,14.0,4.0,3.0,51.0,2.0,4.0,18.0,0.0,19.0,40.0,5.0,7.0,3.0,14.0,15.0
20,200.0,95.0,15.0,11.0,4.0,120.0,6.0,30.0,50.0,0.0,56.0,141.0,11.0,30.0,54.0,19.0,29.0
21,88.0,31.0,14.0,1.0,0.0,56.0,6.0,5.0,17.0,0.0,28.0,51.0,7.0,20.0,15.0,13.0,13.0
22,210.0,40.0,7.0,4.0,0.0,77.0,3.0,8.0,25.0,0.0,25.0,126.0,5.0,29.0,30.0,34.0,21.0
23,155.0,119.0,10.0,8.0,5.0,96.0,7.0,40.0,41.0,0.0,42.0,94.0,26.0,22.0,64.0,33.0,23.0
24,39.0,53.0,3.0,3.0,1.0,24.0,0.0,3.0,3.0,0.0,8.0,30.0,5.0,4.0,9.0,6.0,6.0
25,126.0,99.0,18.0,3.0,3.0,76.0,5.0,7.0,17.0,0.0,22.0,49.0,33.0,21.0,14.0,9.0,19.0
26,10.0,26.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,1.0,0.0,1.0,5.0
27,117.0,59.0,11.0,7.0,4.0,83.0,6.0,12.0,28.0,0.0,40.0,56.0,12.0,21.0,29.0,21.0,14.0
28,77.0,59.0,7.0,2.0,2.0,49.0,5.0,14.0,20.0,0.0,21.0,49.0,21.0,7.0,5.0,5.0,19.0
29,143.0,143.0,47.0,9.0,3.0,95.0,8.0,12.0,55.0,0.0,39.0,65.0,26.0,24.0,25.0,51.0,30.0
30,135.0,162.0,30.0,9.0,8.0,96.0,5.0,10.0,35.0,0.0,33.0,68.0,65.0,34.0,28.0,22.0,23.0
31,129.0,69.0,13.0,7.0,2.0,79.0,5.0,7.0,14.0,0.0,42.0,54.0,10.0,20.0,16.0,10.0,28.0
32,122.0,130.0,19.0,14.0,2.0,77.0,1.0,9.0,17.0,0.0,19.0,52.0,16.0,20.0,14.0,19.0,25.0
33,77.0,44.0,1.0,4.0,0.0,30.0,3.0,17.0,8.0,0.0,10.0,28.0,29.0,10.0,6.0,3.0,6.0
34,16.0,10.0,5.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,3.0,1.0,4.0,0.0
35,29.0,17.0,0.0,1.0,0.0,22.0,7.0,2.0,17.0,0.0,8.0,32.0,5.0,11.0,7.0,8.0,1.0
36,249.0,45.0,12.0,13.0,4.0,116.0,10.0,3.0,50.0,0.0,73.0,118.0,14.0,27.0,31.0,19.0,20.0
37,58.0,48.0,4.0,2.0,1.0,36.0,0.0,16.0,0.0,0.0,9.0,15.0,4.0,7.0,7.0,10.0,7.0
38,212.0,142.0,5.0,7.0,1.0,80.0,4.0,22.0,20.0,0.0,29.0,118.0,23.0,12.0,36.0,23.0,22.0
39,221.0,90.0,33.0,10.0,7.0,124.0,13.0,21.0,46.0,0.0,77.0,159.0,13.0,35.0,37.0,27.0,50.0
40,117.0,125.0,13.0,3.0,2.0,72.0,3.0,19.0,37.0,0.0,35.0,107.0,11.0,20.0,32.0,19.0,32.0
41,35.0,12.0,4.0,0.0,0.0,21.0,0.0,0.0,10.0,0.0,9.0,14.0,4.0,6.0,3.0,2.0,8.0
42,69.0,47.0,6.0,8.0,0.0,26.0,3.0,8.0,13.0,0.0,7.0,36.0,9.0,17.0,8.0,13.0,6.0
43,43.0,26.0,2.0,2.0,1.0,36.0,0.0,2.0,8.0,0.0,8.0,21.0,8.0,6.0,12.0,6.0,4.0
44,154.0,90.0,14.0,3.0,2.0,103.0,16.0,9.0,27.0,0.0,40.0,86.0,12.0,24.0,29.0,18.0,38.0
45,64.0,41.0,3.0,8.0,2.0,29.0,1.0,4.0,6.0,0.0,11.0,33.0,9.0,5.0,10.0,11.0,12.0
46,61.0,79.0,5.0,4.0,1.0,41.0,0.0,12.0,7.0,0.0,11.0,29.0,11.0,8.0,20.0,9.0,3.0
47,16.0,10.0,5.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,3.0,1.0,4.0,0.0
48,80.0,48.0,6.0,0.0,6.0,49.0,1.0,2.0,9.0,0.0,21.0,45.0,2.0,9.0,23.0,22.0,11.0
49,46.0,143.0,2.0,2.0,1.0,35.0,0.0,24.0,7.0,0.0,8.0,31.0,17.0,8.0,5.0,2.0,9.0
50,45.0,12.0,8.0,2.0,2.0,24.0,3.0,5.0,13.0,0.0,20.0,23.0,1.0,9.0,8.0,9.0,5.0
51,121.0,49.0,7.0,7.0,0.0,65.0,11.0,12.0,18.0,0.0,33.0,49.0,12.0,12.0,10.0,21.0,16.0
52,104.0,47.0,15.0,4.0,6.0,72.0,1.0,11.0,22.0,0.0,27.0,55.0,15.0,20.0,9.0,21.0,13.0
53,45.0,35.0,5.0,3.0,0.0,23.0,2.0,4.0,3.0,0.0,17.0,26.0,4.0,5.0,9.0,7.0,7.0
54,507.0,319.0,32.0,27.0,21.0,302.0,16.0,58.0,85.0,0.0,162.0,206.0,46.0,81.0,74.0,78.0,92.0
55,812.0,558.0,51.0,18.0,14.0,413.0,29.0,102.0,147.0,0.0,125.0,567.0,164.0,72.0,164.0,89.0,134.0
56,67.0,38.0,7.0,1.0,1.0,46.0,9.0,5.0,14.0,0.0,26.0,28.0,3.0,16.0,19.0,9.0,17.0
57,159.0,58.0,8.0,3.0,5.0,64.0,6.0,33.0,21.0,0.0,26.0,109.0,52.0,19.0,37.0,8.0,9.0
58,123.0,115.0,9.0,11.0,4.0,76.0,6.0,30.0,25.0,0.0,28.0,64.0,46.0,22.0,16.0,17.0,15.0
59,35.0,52.0,7.0,3.0,0.0,22.0,1.0,6.0,3.0,0.0,15.0,13.0,6.0,15.0,5.0,3.0,4.0
60,57.0,43.0,6.0,6.0,2.0,46.0,1.0,6.0,7.0,0.0,17.0,31.0,19.0,14.0,15.0,10.0,9.0
61,26.0,9.0,6.0,1.0,0.0,16.0,2.0,2.0,4.0,0.0,8.0,10.0,4.0,2.0,6.0,4.0,5.0
62,113.0,101.0,15.0,10.0,4.0,82.0,0.0,10.0,14.0,0.0,31.0,47.0,33.0,18.0,20.0,18.0,11.0
63,41.0,116.0,5.0,3.0,1.0,21.0,0.0,4.0,12.0,0.0,10.0,35.0,9.0,18.0,10.0,16.0,7.0
64,14.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,8.0,1.0,3.0,4.0,3.0,0.0
65,127.0,95.0,27.0,11.0,0.0,65.0,1.0,4.0,28.0,0.0,39.0,79.0,4.0,14.0,2.0,17.0,18.0
66,31.0,53.0,0.0,1.0,0.0,15.0,0.0,2.0,4.0,0.0,2.0,9.0,1.0,4.0,0.0,2.0,2.0
67,179.0,71.0,17.0,4.0,11.0,128.0,16.0,9.0,59.0,0.0,64.0,98.0,14.0,40.0,25.0,37.0,39.0
68,108.0,83.0,18.0,5.0,5.0,65.0,2.0,2.0,27.0,0.0,21.0,32.0,42.0,16.0,13.0,9.0,13.0
69,29.0,27.0,8.0,3.0,1.0,15.0,0.0,2.0,4.0,0.0,7.0,15.0,3.0,5.0,3.0,13.0,1.0
70,284.0,107.0,56.0,10.0,13.0,160.0,9.0,5.0,62.0,0.0,91.0,174.0,26.0,51.0,47.0,87.0,43.0
71,204.0,106.0,19.0,22.0,5.0,96.0,4.0,15.0,51.0,0.0,58.0,83.0,23.0,48.0,28.0,28.0,23.0
72,104.0,47.0,15.0,4.0,6.0,72.0,1.0,11.0,22.0,0.0,27.0,55.0,15.0,20.0,9.0,21.0,13.0
73,25.0,13.0,5.0,3.0,0.0,11.0,3.0,0.0,4.0,0.0,4.0,10.0,6.0,8.0,5.0,5.0,3.0
74,119.0,77.0,18.0,5.0,6.0,58.0,6.0,4.0,33.0,0.0,31.0,50.0,32.0,15.0,10.0,18.0,17.0
75,196.0,62.0,27.0,6.0,4.0,106.0,10.0,9.0,45.0,0.0,45.0,81.0,24.0,24.0,18.0,37.0,29.0
76,30.0,87.0,5.0,3.0,0.0,27.0,0.0,1.0,3.0,0.0,4.0,10.0,5.0,2.0,2.0,4.0,5.0
77,58.0,32.0,3.0,3.0,0.0,25.0,1.0,7.0,6.0,0.0,9.0,24.0,5.0,10.0,6.0,3.0,7.0
78,231.0,207.0,15.0,10.0,8.0,153.0,9.0,53.0,39.0,0.0,36.0,112.0,49.0,41.0,53.0,33.0,41.0
79,308.0,232.0,74.0,63.0,8.0,141.0,7.0,113.0,59.0,1.0,100.0,139.0,26.0,38.0,13.0,70.0,22.0
80,59.0,43.0,10.0,4.0,1.0,23.0,2.0,7.0,13.0,0.0,12.0,27.0,9.0,7.0,6.0,10.0,13.0
81,106.0,73.0,9.0,3.0,2.0,66.0,2.0,18.0,23.0,0.0,20.0,53.0,7.0,14.0,20.0,27.0,18.0
82,140.0,115.0,8.0,13.0,1.0,94.0,7.0,12.0,34.0,0.0,43.0,65.0,10.0,33.0,15.0,19.0,42.0
83,546.0,461.0,58.0,35.0,7.0,335.0,16.0,71.0,94.0,0.0,136.0,246.0,146.0,93.0,84.0,65.0,60.0
84,76.0,53.0,2.0,7.0,3.0,47.0,4.0,11.0,12.0,0.0,18.0,45.0,5.0,14.0,15.0,6.0,12.0
85,16.0,10.0,5.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,3.0,1.0,4.0,0.0
86,58.0,44.0,0.0,4.0,2.0,27.0,3.0,69.0,15.0,0.0,3.0,18.0,3.0,5.0,16.0,20.0,5.0
87,183.0,96.0,10.0,15.0,5.0,118.0,7.0,17.0,33.0,0.0,54.0,95.0,41.0,23.0,27.0,11.0,27.0
88,188.0,1442.0,4.0,1.0,0.0,91.0,0.0,173.0,32.0,0.0,21.0,42.0,2.0,7.0,11.0,7.0,17.0
89,40.0,86.0,2.0,3.0,2.0,13.0,2.0,5.0,11.0,0.0,9.0,22.0,1.0,9.0,7.0,11.0,4.0
90,304.0,185.0,59.0,14.0,15.0,166.0,10.0,27.0,80.0,0.0,82.0,157.0,50.0,41.0,51.0,75.0,42.0
91,58.0,42.0,8.0,7.0,0.0,28.0,1.0,3.0,12.0,0.0,16.0,23.0,10.0,13.0,5.0,11.0,9.0
92,32.0,14.0,3.0,4.0,1.0,16.0,0.0,2.0,3.0,0.0,7.0,16.0,1.0,2.0,0.0,6.0,2.0
93,127.0,62.0,12.0,4.0,2.0,67.0,6.0,7.0,10.0,0.0,36.0,60.0,14.0,10.0,18.0,23.0,15.0
94,50.0,45.0,4.0,6.0,1.0,19.0,2.0,6.0,14.0,0.0,26.0,35.0,6.0,14.0,9.0,16.0,5.0
95,31.0,37.0,2.0,2.0,0.0,31.0,2.0,7.0,3.0,0.0,7.0,22.0,5.0,2.0,8.0,2.0,10.0
96,48.0,50.0,3.0,2.0,1.0,41.0,3.0,13.0,18.0,0.0,17.0,36.0,6.0,17.0,23.0,6.0,15.0
97,142.0,83.0,7.0,6.0,2.0,74.0,1.0,15.0,13.0,0.0,28.0,45.0,18.0,18.0,13.0,9.0,23.0
98,210.0,84.0,22.0,4.0,11.0,139.0,7.0,18.0,18.0,0.0,54.0,99.0,19.0,31.0,29.0,32.0,40.0
99,458.0,231.0,78.0,63.0,17.0,218.0,15.0,31.0,118.0,0.0,156.0,239.0,31.0,52.0,88.0,130.0,77.0
100,212.0,166.0,37.0,13.0,3.0,125.0,5.0,14.0,37.0,0.0,89.0,103.0,60.0,31.0,29.0,21.0,26.0
101,161.0,129.0,29.0,4.0,3.0,91.0,3.0,21.0,26.0,0.0,42.0,65.0,21.0,29.0,10.0,20.0,27.0
102,34.0,37.0,1.0,6.0,0.0,26.0,1.0,11.0,4.0,0.0,7.0,14.0,12.0,10.0,6.0,1.0,4.0
103,161.0,83.0,19.0,9.0,6.0,86.0,9.0,6.0,41.0,0.0,29.0,73.0,21.0,15.0,23.0,26.0,29.0
104,51.0,12.0,6.0,8.0,0.0,26.0,0.0,0.0,15.0,0.0,16.0,19.0,8.0,12.0,10.0,5.0,8.0
105,181.0,73.0,44.0,28.0,14.0,92.0,9.0,13.0,44.0,0.0,43.0,85.0,49.0,31.0,37.0,51.0,34.0
106,54.0,53.0,4.0,2.0,0.0,37.0,6.0,6.0,18.0,0.0,9.0,38.0,21.0,12.0,16.0,16.0,8.0
107,35.0,22.0,3.0,5.0,1.0,19.0,0.0,0.0,12.0,0.0,23.0,19.0,4.0,8.0,5.0,12.0,4.0
108,104.0,73.0,17.0,14.0,2.0,65.0,3.0,7.0,18.0,0.0,34.0,49.0,31.0,15.0,19.0,7.0,9.0
109,56.0,33.0,6.0,1.0,0.0,49.0,4.0,2.0,9.0,0.0,11.0,25.0,21.0,2.0,11.0,5.0,5.0
110,43.0,16.0,6.0,1.0,2.0,23.0,0.0,2.0,6.0,0.0,6.0,25.0,19.0,3.0,12.0,3.0,0.0
111,188.0,129.0,30.0,16.0,12.0,89.0,5.0,9.0,43.0,0.0,62.0,108.0,19.0,46.0,28.0,45.0,44.0
112,107.0,94.0,34.0,15.0,1.0,61.0,4.0,8.0,28.0,0.0,43.0,54.0,27.0,18.0,15.0,12.0,23.0
113,135.0,143.0,14.0,8.0,1.0,71.0,7.0,14.0,34.0,0.0,29.0,68.0,17.0,21.0,28.0,22.0,31.0
114,81.0,33.0,8.0,2.0,1.0,37.0,1.0,12.0,15.0,0.0,23.0,42.0,8.0,16.0,10.0,13.0,17.0
115,56.0,41.0,4.0,4.0,0.0,27.0,2.0,2.0,7.0,0.0,22.0,31.0,2.0,10.0,6.0,12.0,9.0
116,143.0,55.0,33.0,21.0,6.0,67.0,2.0,8.0,28.0,0.0,19.0,50.0,32.0,19.0,14.0,20.0,20.0
117,148.0,107.0,24.0,11.0,8.0,78.0,2.0,12.0,42.0,0.0,49.0,61.0,27.0,29.0,14.0,20.0,25.0
118,144.0,112.0,5.0,9.0,0.0,98.0,10.0,16.0,23.0,0.0,36.0,55.0,10.0,16.0,21.0,12.0,33.0
119,32.0,15.0,6.0,6.0,1.0,17.0,0.0,0.0,6.0,0.0,12.0,16.0,3.0,6.0,4.0,5.0,5.0
120,26.0,39.0,1.0,3.0,1.0,16.0,1.0,5.0,5.0,0.0,16.0,10.0,6.0,7.0,3.0,6.0,6.0
121,171.0,138.0,23.0,14.0,2.0,80.0,8.0,7.0,36.0,0.0,43.0,113.0,13.0,32.0,21.0,26.0,34.0
122,488.0,356.0,52.0,34.0,16.0,196.0,5.0,30.0,50.0,0.0,171.0,253.0,20.0,96.0,55.0,78.0,74.0
123,77.0,60.0,24.0,5.0,2.0,48.0,1.0,9.0,28.0,0.0,31.0,23.0,30.0,13.0,14.0,12.0,10.0
124,60.0,50.0,22.0,7.0,2.0,45.0,5.0,4.0,17.0,0.0,37.0,30.0,18.0,14.0,11.0,23.0,20.0
125,125.0,92.0,64.0,13.0,2.0,69.0,8.0,3.0,43.0,0.0,43.0,49.0,6.0,23.0,15.0,49.0,24.0
126,253.0,99.0,37.0,16.0,16.0,123.0,6.0,7.0,53.0,0.0,72.0,151.0,13.0,39.0,31.0,43.0,56.0
127,58.0,36.0,7.0,3.0,1.0,31.0,7.0,4.0,11.0,0.0,27.0,47.0,5.0,11.0,12.0,10.0,12.0
128,68.0,23.0,4.0,3.0,2.0,33.0,2.0,5.0,12.0,0.0,14.0,36.0,6.0,14.0,13.0,8.0,11.0
129,168.0,65.0,25.0,9.0,5.0,119.0,8.0,17.0,55.0,0.0,69.0,121.0,31.0,51.0,56.0,39.0,30.0
130,16.0,10.0,5.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,3.0,1.0,4.0,0.0
131,66.0,18.0,4.0,3.0,1.0,27.0,1.0,9.0,19.0,0.0,16.0,52.0,9.0,1.0,8.0,4.0,12.0
132,158.0,77.0,12.0,16.0,14.0,79.0,1.0,13.0,48.0,0.0,60.0,88.0,13.0,18.0,31.0,31.0,15.0
133,99.0,56.0,6.0,4.0,1.0,84.0,8.0,9.0,17.0,0.0,33.0,63.0,20.0,9.0,19.0,14.0,13.0
134,93.0,62.0,28.0,18.0,1.0,42.0,2.0,6.0,29.0,0.0,20.0,46.0,31.0,20.0,8.0,18.0,25.0
135,167.0,46.0,53.0,34.0,6.0,77.0,8.0,4.0,52.0,0.0,56.0,86.0,19.0,40.0,17.0,47.0,31.0
136,46.0,28.0,3.0,0.0,0.0,26.0,2.0,10.0,8.0,0.0,5.0,15.0,4.0,5.0,8.0,11.0,10.0
137,50.0,88.0,7.0,1.0,4.0,43.0,0.0,16.0,17.0,0.0,11.0,31.0,22.0,6.0,8.0,7.0,4.0
138,46.0,30.0,7.0,3.0,1.0,30.0,3.0,7.0,16.0,0.0,16.0,28.0,3.0,6.0,11.0,5.0,13.0
139,204.0,112.0,14.0,21.0,7.0,117.0,6.0,20.0,38.0,0.0,47.0,113.0,24.0,27.0,23.0,39.0,32.0
140,66.0,34.0,4.0,5.0,3.0,33.0,1.0,11.0,10.0,0.0,26.0,29.0,10.0,2.0,9.0,12.0,7.0
141,258.0,140.0,18.0,12.0,5.0,158.0,16.0,25.0,65.0,0.0,44.0,126.0,47.0,42.0,62.0,41.0,40.0
142,52.0,104.0,17.0,5.0,1.0,31.0,3.0,15.0,13.0,0.0,7.0,23.0,26.0,8.0,4.0,2.0,7.0
143,112.0,135.0,22.0,25.0,4.0,49.0,3.0,17.0,23.0,0.0,12.0,50.0,60.0,5.0,15.0,3.0,6.0
144,231.0,309.0,55.0,38.0,15.0,119.0,11.0,35.0,29.0,0.0,30.0,100.0,98.0,30.0,25.0,24.0,22.0
145,85.0,65.0,9.0,4.0,1.0,54.0,3.0,10.0,20.0,0.0,29.0,48.0,13.0,22.0,14.0,18.0,16.0
146,156.0,99.0,44.0,15.0,5.0,106.0,14.0,26.0,49.0,0.0,38.0,89.0,44.0,13.0,32.0,48.0,30.0
147,255.0,181.0,51.0,17.0,11.0,171.0,10.0,22.0,58.0,0.0,68.0,149.0,105.0,49.0,62.0,29.0,36.0
148,70.0,26.0,6.0,3.0,2.0,33.0,5.0,1.0,7.0,0.0,9.0,33.0,6.0,18.0,7.0,10.0,9.0
149,68.0,15.0,10.0,8.0,0.0,28.0,0.0,1.0,10.0,0.0,10.0,30.0,2.0,6.0,3.0,7.0,6.0
150,41.0,75.0,14.0,3.0,2.0,24.0,0.0,5.0,6.0,0.0,1.0,21.0,25.0,6.0,2.0,1.0,1.0
151,219.0,176.0,20.0,8.0,6.0,148.0,6.0,44.0,52.0,0.0,25.0,111.0,79.0,34.0,43.0,26.0,24.0
152,208.0,124.0,21.0,8.0,21.0,153.0,7.0,22.0,53.0,0.0,62.0,124.0,36.0,25.0,56.0,46.0,36.0
153,82.0,58.0,3.0,10.0,0.0,48.0,2.0,5.0,20.0,0.0,17.0,27.0,15.0,21.0,11.0,9.0,17.0
154,78.0,62.0,19.0,7.0,2.0,65.0,7.0,8.0,18.0,0.0,34.0,47.0,8.0,10.0,9.0,33.0,17.0
155,90.0,77.0,4.0,1.0,5.0,44.0,3.0,18.0,20.0,0.0,16.0,70.0,14.0,14.0,21.0,13.0,23.0
156,79.0,32.0,19.0,13.0,0.0,34.0,3.0,0.0,16.0,0.0,31.0,56.0,0.0,22.0,18.0,25.0,10.0
157,169.0,317.0,14.0,12.0,10.0,89.0,4.0,50.0,30.0,0.0,66.0,105.0,7.0,38.0,34.0,36.0,41.0
158,42.0,37.0,0.0,1.0,2.0,19.0,2.0,2.0,5.0,0.0,7.0,31.0,2.0,7.0,2.0,8.0,8.0
159,102.0,104.0,20.0,14.0,1.0,43.0,1.0,4.0,24.0,0.0,11.0,42.0,33.0,9.0,9.0,2.0,8.0
160,127.0,54.0,5.0,0.0,3.0,68.0,3.0,10.0,35.0,0.0,26.0,70.0,11.0,26.0,16.0,14.0,20.0
161,26.0,10.0,0.0,1.0,0.0,10.0,1.0,0.0,11.0,0.0,6.0,22.0,4.0,4.0,3.0,8.0,3.0
162,139.0,60.0,48.0,13.0,4.0,75.0,4.0,8.0,62.0,1.0,60.0,73.0,19.0,38.0,23.0,51.0,16.0
163,141.0,92.0,17.0,9.0,5.0,100.0,7.0,10.0,34.0,0.0,32.0,63.0,53.0,22.0,22.0,17.0,14.0
164,116.0,79.0,17.0,4.0,11.0,84.0,1.0,26.0,24.0,0.0,45.0,50.0,17.0,13.0,17.0,13.0,27.0
165,111.0,52.0,9.0,4.0,0.0,74.0,6.0,19.0,22.0,0.0,22.0,48.0,26.0,12.0,17.0,14.0,8.0
166,268.0,105.0,4.0,4.0,4.0,125.0,7.0,2.0,26.0,0.0,60.0,142.0,12.0,22.0,51.0,27.0,26.0
167,192.0,170.0,60.0,19.0,23.0,123.0,6.0,20.0,53.0,0.0,57.0,108.0,22.0,33.0,25.0,42.0,54.0
168,77.0,44.0,1.0,4.0,0.0,30.0,3.0,17.0,8.0,0.0,10.0,28.0,29.0,10.0,6.0,3.0,6.0
169,151.0,95.0,18.0,6.0,3.0,78.0,8.0,15.0,51.0,0.0,67.0,82.0,11.0,38.0,19.0,36.0,37.0
170,129.0,71.0,14.0,5.0,5.0,57.0,7.0,9.0,31.0,0.0,36.0,75.0,33.0,15.0,14.0,16.0,11.0
171,60.0,17.0,2.0,5.0,0.0,31.0,2.0,10.0,11.0,0.0,10.0,25.0,9.0,10.0,6.0,4.0,11.0
172,230.0,122.0,37.0,21.0,5.0,115.0,15.0,13.0,45.0,0.0,63.0,98.0,36.0,45.0,22.0,46.0,38.0
173,9.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,2.0,0.0,2.0
174,83.0,42.0,6.0,6.0,2.0,48.0,4.0,7.0,22.0,0.0,23.0,43.0,22.0,21.0,14.0,9.0,9.0
175,192.0,140.0,15.0,4.0,10.0,114.0,6.0,28.0,26.0,0.0,52.0,90.0,30.0,23.0,32.0,31.0,29.0
176,182.0,82.0,18.0,9.0,9.0,109.0,11.0,3.0,35.0,0.0,24.0,67.0,47.0,15.0,27.0,18.0,33.0
177,132.0,78.0,40.0,22.0,9.0,65.0,2.0,15.0,34.0,0.0,25.0,71.0,32.0,24.0,13.0,38.0,18.0
178,179.0,73.0,43.0,19.0,4.0,86.0,7.0,3.0,42.0,0.0,62.0,83.0,23.0,42.0,9.0,42.0,34.0
179,89.0,61.0,12.0,6.0,1.0,48.0,7.0,24.0,28.0,0.0,9.0,59.0,17.0,14.0,17.0,8.0,22.0
180,112.0,36.0,15.0,2.0,3.0,54.0,4.0,3.0,25.0,0.0,45.0,47.0,22.0,19.0,20.0,15.0,13.0
181,288.0,109.0,50.0,39.0,3.0,133.0,10.0,23.0,46.0,0.0,77.0,151.0,6.0,18.0,30.0,34.0,63.0
182,62.0,51.0,16.0,2.0,1.0,24.0,2.0,8.0,15.0,0.0,8.0,24.0,11.0,7.0,8.0,8.0,12.0
183,107.0,78.0,6.0,2.0,3.0,55.0,1.0,23.0,24.0,0.0,18.0,49.0,17.0,8.0,10.0,16.0,12.0
184,83.0,56.0,8.0,9.0,3.0,53.0,2.0,2.0,27.0,0.0,26.0,32.0,3.0,21.0,6.0,21.0,15.0
185,54.0,16.0,0.0,0.0,0.0,28.0,3.0,8.0,5.0,0.0,15.0,20.0,7.0,6.0,6.0,5.0,3.0
186,84.0,71.0,6.0,3.0,6.0,49.0,2.0,7.0,14.0,0.0,22.0,41.0,18.0,15.0,20.0,12.0,14.0
187,16.0,10.0,5.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,3.0,1.0,4.0,0.0
188,26.0,45.0,1.0,0.0,0.0,24.0,0.0,16.0,10.0,0.0,3.0,21.0,12.0,4.0,10.0,1.0,3.0
189,92.0,30.0,5.0,2.0,1.0,49.0,3.0,17.0,21.0,0.0,23.0,65.0,3.0,8.0,12.0,9.0,22.0
190,205.0,83.0,34.0,23.0,7.0,65.0,8.0,10.0,40.0,0.0,25.0,72.0,34.0,35.0,11.0,34.0,32.0
191,253.0,61.0,99.0,39.0,7.0,138.0,6.0,13.0,56.0,0.0,45.0,118.0,121.0,25.0,25.0,18.0,23.0
192,344.0,280.0,30.0,18.0,5.0,176.0,24.0,36.0,50.0,0.0,77.0,117.0,105.0,37.0,51.0,28.0,44.0
193,14.0,14.0,5.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,2.0,3.0,4.0,0.0
194,42.0,23.0,4.0,5.0,0.0,25.0,1.0,5.0,6.0,0.0,9.0,16.0,6.0,7.0,6.0,3.0,8.0
195,303.0,95.0,17.0,7.0,12.0,129.0,18.0,40.0,62.0,0.0,81.0,158.0,11.0,30.0,62.0,60.0,53.0
